"ET","NEE ","ER","GPP","TMAX","TMIN","TAVG","HAVG","HDEG","CDEG","WCMN","WSPD","ATOT","RAIN","EVI"
"1.617969105623","-2.8287485723894","2.5178472997692","5.3465958721586","64.13","32.57","45.41","56.38","16.65","0","25.03","16.8","12.69","0","0.751"
"0.360643000913","0.0889787808","1.672916128985","1.583937348185","54.61","22.2","34.7","44.08","26.6","0","13.02","8.45","11.36","0","0.787"
"3.132401342974","-9.9007861268696","6.4516321395357","16.352418266405","70.39","38.83","53.87","63.12","10.39","0","33.6","6.18","25.53","0","0.983"
"3.586923866229","0.22066564648282","5.8547896165269","5.6341239700441","71.17","46.85","59.15","70.87","5.99","0","45.81","10.78","28.15","0.01","0.375"
"2.952781815007","-0.11096504938943","6.5834306071374","6.6943956565269","75.11","42.93","59.84","69.66","5.98","0","41.04","4.89","28.07","0","0.35822222222222"
"1.562653083333","1.4430421270784","6.2140721588881","4.7710300318097","66.72","49.28","58.57","86.99","7","0","47.37","5.79","8.76","0.08","0.34144444444444"
"2.506379293379","2.9895241100194","5.9353664487859","2.9458423387665","70.39","45.96","57.35","77.28","6.82","0","42.29","11.84","16.7","0.01","0.32466666666667"
"2.482303149363","1.2655330686396","5.2647066771859","3.9991736085463","73.72","43.22","58.82","66.51","6.53","0","38.67","8.42","29.67","0","0.30788888888889"
"2.828433190439","2.5392607929515","6.4768169112423","3.9375561182907","86.99","50.74","70.39","60.47","0","3.86","-996","16.63","28.05","0","0.29111111111111"
"2.36910830466","3.3035681973648","7.5818822686335","4.2783140712687","86.72","59.4","75.64","68.41","0","8.06","-996","9.15","28.48","0","0.27433333333333"
"2.248233766517","5.1940330572687","8.0672252614097","2.873192204141","90.36","67.82","78.57","67.27","0","14.09","-996","12.1","22.66","0","0.25755555555556"
"1.866321595542","2.2245466524819","6.1880544273806","3.9635077748987","80.67","52.29","68.78","64.44","0","1.48","-996","11.01","29.19","0","0.24077777777778"
"1.900065551206","2.1687438183304","6.3145550401454","4.145811221815","87.04","49.5","69.41","56.75","0","3.27","48.98","5.67","24.52","0","0.224"
"1.351025235","1.3983352327434","2.4295468078885","1.0312115751452","74.7","41.59","57.63","77.47","6.86","0","41.84","4.26","14.43","0","0.111"
"1.39641554","1.7981739318584","2.5139568346088","0.71578290275044","77.52","47.73","60.27","83.58","2.37","0","45.36","8.77","13.89","0.01","0.1136"
"1.63064991","1.9581935583186","2.7154487446168","0.75725518629823","76.62","52.21","61.22","73.99","0.58","0","-996","11.84","13.64","0","0.1162"
"1.603500042","1.6915944902655","2.6234281782478","0.9318336879823","75.76","52.65","63.28","78.86","0.8","0","-996","18.08","13.46","0","0.1188"
"0.85120774","1.8918834769912","2.5747400923009","0.68285661530973","70.32","59.65","64.61","83.88","0.01","0","-996","16.49","6.69","0","0.1214"
"1.755429248","0.60150795451327","1.9845616909381","1.3830537364248","64.65","34.59","49.51","74.07","15.38","0","30.71","9.39","13.59","0","0.124"
"0.955151856","0.58433482911504","1.5316685776991","0.94733374858407","60.39","27.08","42.17","74.86","21.27","0","23.32","3.92","14.28","0","0.123"
"2.0867256371","1.228341490885","1.8519371361239","0.62359564523894","71.65","34.52","52.47","62.34","11.91","0","30.15","13.04","13.01","0","0.122"
"1.07334966","0.43976494911504","1.1439684479071","0.70420349879204","53.91","28.41","43.01","69.05","23.84","0","20.37","6.6","10.81","0","0.121"
"1.67150144","1.6508082902655","2.1644797993805","0.51367150911504","79.97","49.57","61.65","56.58","0.23","0","43.55","17.56","12.62","0.01","0.12"
"0.989757506","0.43349959911504","1.5473181456637","1.1138185465487","60.55","33.67","46.45","38.53","17.89","0","26.88","7.29","14.14","0","0.119"
"1.288042368","0.65851263756637","1.4578619284513","0.79934929088496","70.52","33.84","50.06","45.97","12.82","0","26.62","7.38","13.59","0","0.1152"
"1.2362385458","0.65587201486726","1.5387459770708","0.88287396220354","71.8","32.24","50.67","52.24","12.98","0","24.82","7.68","13.45","0","0.1114"
"1.71322532","1.1852436017788","1.8413515321327","0.65610793035398","72.34","45.19","58.26","42.44","6.23","0","38.94","20.06","12.93","0","0.1076"
"2.07130273","1.5593052615929","2.1001466246018","0.54084136300885","73.76","56.53","64.08","64.12","0","0.15","-996","23.84","12.4","0","0.1038"
"2.056184941","1.2764084559292","2.0319026885841","0.75549423265487","71.8","56.97","62.42","73.15","0.62","0","-996","11.14","11.64","0","0.1"
"0.718727413","1.4867256990265","1.8271211317168","0.34039543269027","57.11","46.16","51.44","90.11","13.37","0","40.93","8.46","1.97","0.01","0.1038"
"1.272461832","0.65812658415929","1.6488156089071","0.99068902474779","47.89","28.07","41.72","92.9","27.02","0","22.93","9.93","3.09","0","0.1076"
"1.236868419","0.7514915839646","1.7433182084097","0.99182662444513","52","29.78","44.43","88.42","24.11","0","26.46","11.37","4.57","0.01","0.1114"
"1.023256841","1.1032695366372","1.9921109452009","0.88884140856372","61.34","40.7","52.93","93.38","13.98","0","31.41","17.66","2.44","0.35","0.1152"
"1.326825954","0.70840397946903","1.8565388449009","1.1481348654319","57.02","34.69","43.43","64.1","19.14","0","25.77","9.96","12.89","0","0.119"
"1.350401158","0.62847396438053","1.933881869469","1.3054079050885","67.08","33.87","47.24","65.52","14.53","0","27.78","12.29","11.92","0","0.1188"
"1.058729585","0.40995812540708","1.7663671536372","1.3564090282301","54.14","31.48","41.84","76.29","22.19","0","25.53","12.04","12.06","0","0.1186"
"0.8778785236","0.83989848823009","1.9441040766372","1.1042055884071","44.85","27.15","37.01","83","29","0","20.16","5.33","3.83","0.09","0.1184"
"0.71411593","3.1746907871681","3.8011657754867","0.62647498831858","49.5","30.19","40.43","80.36","25.16","0","20.77","10.25","5.58","0.04","0.1182"
"1.1439294983","1.7614900521239","2.5081275607965","0.74663750867257","48.43","18.2","32.72","57.64","31.69","0","8.38","8.96","12.86","0","0.118"
"1.347790386","1.5352350762743","2.6892214415841","1.1539863653097","56.12","28.68","39.76","56.09","22.6","0","18.09","11.66","12.31","0","0.1178"
"0.342245754","1.7539701100885","2.5679158509027","0.81394574081416","41.06","33.1","36.29","84.69","27.92","0","23.15","9.45","0.94","0.13","0.1176"
"0.643619903","1.3119708130088","2.5351639974159","1.2231931844071","39.1","23.67","32.84","94.9","33.61","0","14.95","12.18","1.95","0.09","0.1174"
"1.108884454","0.88127871690265","2.4677120851327","1.5864333682301","55.18","20.78","35.19","72.02","27.02","0","12.72","6.63","12.06","0.01","0.1172"
"1.09223841","1.3796515959292","2.307616578685","0.92796498275575","54.36","26.64","38.14","74.9","24.5","0","19.91","7.5","9.66","0","0.117"
"1.262175183","0.89594852893805","2.0405590257345","1.1446104967965","57.04","25.99","38.76","75.39","23.49","0","17.85","8.83","11.85","0","0.1204"
"1.06514957","0.8672803399115","2.1927609130619","1.3254805731504","65.86","28.29","42.95","67.15","17.92","0","19.79","7.12","-996","0.01","0.1238"
"0.9252312","0.28392955016814","1.5858693453982","1.3019397952301","65.52","29.1","44.84","55.23","17.69","0","19.77","7.89","12.22","0","0.1272"
"0.799493445","-0.2224422119469","1.4612466525133","1.6836888644602","72.21","32.66","49.75","46.91","12.56","0","26.93","7.23","12.25","0","0.1306"
"0.752214995","0.54694735590265","1.3060459053637","0.75909854946106","72.16","32.67","51.01","53.06","12.58","0","27.88","7.58","11.98","0","0.134"
"1.018096398","-0.48526691487611","0.84876793207965","1.3340348469558","49.57","28.5","42.04","74.99","25.97","0","23.18","9.73","9.27","0.03","0.1311"
"0.499022963","0.10971135557522","0.76339618383186","0.65368482825664","43.62","27.08","34.89","80.02","29.65","0","18.81","7.98","8.66","0","0.1282"
"0.370945704","0.64638168929204","1.0275306634513","0.38114897415929","34.83","16.52","29.57","94.93","39.33","0","7.42","12.33","3.98","0.15","0.1253"
"0.579660077","0.81214697763717","0.88313496953097","0.070987991893805","35.96","12.49","24.22","90.53","40.78","0","3.93","4.79","11.15","0.16","0.1224"
"0.527096427","0.55386861618584","0.64232163377522","0.088453017589381","32.05","24.7","29.33","96.93","36.62","0","16.41","8.06","2.86","0.01","0.1195"
"0.334023107","1.1365340333894","1.205325582523","0.068791549133628","32.27","21.24","27.76","90.34","38.24","0","13.18","5.96","11.01","0.13","0.1166"
"0.353726829","0.95376572449646","1.1785833988327","0.22481767433628","44.55","18.2","32.71","75.75","33.62","0","10.78","7.51","12.01","0.32","0.1137"
"1.201244565","1.2895610161062","1.4830473743363","0.19348635823009","54.12","33.86","42.94","75.57","21.01","0","26.07","13.65","9.07","0.3","0.1108"
"1.320869081","0.64284165238938","1.1907593471708","0.54791769478142","48.36","28.32","36.64","81.43","26.66","0","21.95","7.61","11.29","0","0.1079"
"1.417700953","0.52581126345133","1.4729975355027","0.94718627205133","58.35","26.26","40.59","71.48","22.69","0","20.48","8.01","11.57","0","0.105"
"1.381737357","1.1569425929204","1.9770497504602","0.82010715753982","63.03","30.73","45.58","61.12","18.12","0","24.24","6.17","11.4","0","0.108"
"1.90854412","1.4653567134159","2.2242974865133","0.75894077309735","67.59","32.13","50.14","67.11","15.14","0","26.25","14","10.5","0","0.111"
"2.79307198","1.1618087575221","2.3210874573451","1.159278699823","56.79","21.14","43.01","59.41","26.04","0","12.57","20.3","11.44","0","0.114"
"1.396928","0.46108018513274","1.5745699611637","1.113489776031","50.05","15.04","30.28","60.67","32.45","0","3.67","10","11.63","0","0.117"
"1.14714828","1.3322089480619","2.116171374292","0.78396242623009","61.59","21.21","40","59.25","23.6","0","12.63","7.63","11.48","0","0.12"
"1.56618799","0.96953393946903","1.9093612703894","0.93982733092035","65.97","29.45","48.29","39.51","17.29","0","21.88","12.38","11.9","0","0.1203"
"1.40075247","0.72165634168142","1.76653386","1.0448775183186","66","34.66","49.23","44.25","14.67","0","31.55","14.63","11.32","0","0.1206"
"0.55424009","0.47042787424779","0.90608413511867","0.43565626087088","44.47","31.3","37.94","71.57","27.11","0","23.34","8.54","5.31","0","0.1209"
"0.96582358","1.7517922948673","1.8962616770442","0.14446938217699","54.05","35.83","46.32","95.71","20.06","0","29.23","15.33","1.32","0.6","0.1212"
"1.933330759","1.042862560885","1.4601436986903","0.41728113780531","40.95","30.21","36.22","78.25","29.42","0","22.54","13.49","5.41","0.58","0.1215"
"1.046574355","1.2569983733628","1.4323128030796","0.17531442971681","34.41","23.01","29.6","83.78","36.29","0","14.44","-996","3.96","0.35","0.1218"
"0.4948528599","1.2063594598566","1.6074930414584","0.40113358160177","34.8","26.3","30.98","91.28","34.45","0","18.62","-996","6.2","0.22","0.1221"
"0.2071017519","1.3817859896549","1.5616831809823","0.17989719132743","40.39","27.82","33.63","85.36","30.9","0","21.66","5.35","10.9","0.4","0.1224"
"0.299154876","0.86904057384956","1.3399391919027","0.4708986180531","45.72","23.46","32.1","91.45","30.41","0","14.95","5","8.97","0.1","0.1227"
"1.297430679","1.4850179970531","2.1289563846637","0.64393838761062","57.87","26.3","40","77.75","22.92","0","20.28","6.55","11.53","0.02","0.123"
"2.472254062","0.74612814865487","1.7150424001089","0.96891425145398","72.72","25.89","50.42","53.19","15.7","0","21.39","8.77","18.62","0","0.177"
"3.3268655","0.37193544159292","1.8482935138407","1.4763580722478","57.56","33.75","47.39","50","19.35","0","27.82","16.7","18.89","0","0.18233333333333"
"1.6021237","-0.37395322566372","0.85566067920398","1.2296139048677","52.68","27.67","40.26","62.75","24.82","0","18.22","10.29","14.17","0","0.18766666666667"
"1.43217313","-0.18877674584071","1.1526770539274","1.3414537997681","60.42","33.11","44.51","74.54","18.24","0","27.58","6.43","13.88","0","0.193"
"0.55981291","-0.18768044548673","1.4069658257522","1.5946462712389","60.98","37.7","49.02","99.06","15.66","0","30.97","14.54","5.73","0.01","0.19833333333333"
"2.79801992","-0.16261643628319","1.5580325355929","1.7206489718761","61.79","37.18","49.25","56.93","15.51","0","27.99","15.82","14.48","0","0.20366666666667"
"1.55154419","-1.0597505873097","0.61049407324779","1.6702446605575","55.49","25.39","40.47","62.49","24.56","0","16.8","7.58","16.72","0","0.209"
"2.215474883","-0.64910088598142","0.9577297787177","1.6068306646991","64.65","26.43","44.74","48.2","19.46","0","20.15","9.12","19.92","0","0.21433333333333"
"1.9668244","-0.25057507938053","1.3735821536283","1.6241572330089","70.83","32.52","51.22","45.4","13.33","0","25.54","11.2","20.59","0","0.21966666666667"
"1.68850971","0.036700622123894","1.8486463651327","1.8119457430088","77.45","38.73","55.83","59","6.91","0","31.99","13.24","15.94","0.01","0.225"
"1.80253717","0.51265196283186","2.1806763216372","1.6680243588053","56.88","34.84","48.59","84.02","19.14","0","35.14","14.13","6.66","0.03","0.23033333333333"
"1.75352132","-0.46607354840708","1.9045370269912","2.3706105753982","64.54","28.42","45.74","71.67","18.52","0","23.62","6.44","20.14","0","0.23566666666667"
"1.75138242","-0.54788621256637","1.5079597448926","2.0558459574589","66.7","31.63","48.9","53.3","15.84","0","24.55","13.68","20.91","0","0.241"
"1.70040433","-0.73514983778761","1.5495131816283","2.2846630194159","71.28","37.88","55.01","49.64","10.42","0","30.88","16.2","18.12","0","0.24633333333333"
"1.34058149","-0.080380863716814","1.9655422496283","2.0459231133451","74.66","52.95","61.66","67.49","1.19","0","-996","23.56","15.97","0","0.25166666666667"
"2.05425066","-0.31996228141593","2.4241096847788","2.7440719661947","82.27","60.01","68.58","63.05","0","6.14","-996","23.61","20","0","0.257"
"0.98032138","-0.6572996840708","1.993260673346","2.6505603574168","60.82","46.53","51.81","80.11","11.33","0","39.93","11.11","7.01","0","0.2726"
"0.62569979","-0.46339128716814","2.5791770646637","3.0425683518319","69.76","48.63","54.08","93.46","5.8","0","44.58","7.46","4.37","0.08","0.2882"
"1.2688568","0.40645716132743","3.5274949613363","3.1210378000089","70.84","49.84","59.34","91.2","4.66","0","46.86","11.68","5.34","0.05","0.3038"
"3.95740884","-0.86028702212389","3.2191168261062","4.0794038482301","68.07","49.5","58.56","55.87","6.22","0","45.1","15.6","19.78","0.32","0.3194"
"2.98062577","-3.3896532823009","2.8102484780442","6.1999017603451","66.94","38.57","52.45","57.14","12.25","0","33.04","11.79","21.94","0","0.335"
"4.90243326","-8.0198480389381","8.0557306974956","16.075578736434","76.24","34.23","56.72","51.54","9.76","0","29.99","9.47","27.34","0","0.611"
"2.052481797","-2.2659671628319","4.5168342124779","6.7828013753097","73.56","51.13","61.17","77.51","2.65","0","-996","8.78","28.85","0","0.213"
